id,observed_on_string,observed_on,time_observed_at,time_zone,created_at,updated_at,quality_grade,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,public_positional_accuracy,positioning_method,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
53231,2012-02-18,2012-02-18,,Pacific Time (US & Canada),2012-02-23 16:25:40 UTC,2018-05-20 20:07:23 UTC,research,3,0,false,,"Upper San Leandro Reservoir, EBMUD, CA",37.7419343814,-122.0727614253,131,131,,Wild strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
53842,2012-02-26 15:25:30-0800,2012-02-26,2012-02-26 23:25:30 UTC,Pacific Time (US & Canada),2012-02-27 01:53:39 UTC,2019-05-22 12:14:27 UTC,research,2,0,false,,"Huckleberry Botanic Regional Preserve, Contra Costa County, US-CA, US",37.841817,-122.186219,47,28329,,Wild strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
54295,2012-02-29,2012-02-29,,Pacific Time (US & Canada),2012-03-01 02:54:09 UTC,2018-02-06 05:46:20 UTC,research,1,0,false,,san bruno mountain,37.6904214417,-122.4397942275,582,582,,wild strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
55387,"March 3, 2012 1:43:58 PM PST",2012-03-03,2012-03-03 21:43:58 UTC,Pacific Time (US & Canada),2012-03-05 06:26:40 UTC,2018-05-20 20:07:17 UTC,research,3,0,false,2,Marin Headlands State Park,37.8254557455,-122.5096855011,15,15,gps,Wild strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
56237,2012-03-08 16:35:04-0800,2012-03-08,2012-03-09 00:35:04 UTC,Pacific Time (US & Canada),2012-03-09 03:32:02 UTC,2019-04-12 15:42:46 UTC,research,1,0,false,,"Tilden Regional Park, Contra Costa County, US-CA, US",37.882435,-122.22518,99,28329,,wild strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
58438,"March 17, 2012 12:28:24 PM PDT",2012-03-17,2012-03-17 19:28:24 UTC,Pacific Time (US & Canada),2012-03-17 22:06:23 UTC,2018-05-20 20:07:15 UTC,research,2,0,false,2,"Gray Whale Cove State Beach, Pacifica, CA",37.5626283404,-122.5116902303,10,10,gps,Wild strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
60538,2012-03-25,2012-03-25,,Pacific Time (US & Canada),2012-03-28 03:02:49 UTC,2018-05-20 20:07:09 UTC,research,2,0,false,,"Rodeo Lagoon, Sausalito CA",37.8289887529,-122.5323671153,20,20,,Wild strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
62843,Thu Apr 05 2012 17:36:12 GMT-0700 (PDT),2012-04-05,2012-04-06 00:36:12 UTC,Pacific Time (US & Canada),2012-04-06 02:46:29 UTC,2018-05-20 20:07:02 UTC,research,2,0,false,,"Seaview Trl, Orinda, California, US",37.883241,-122.224038,47,47,,Wild strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
62922,2012-04-06,2012-04-06,,Pacific Time (US & Canada),2012-04-06 17:36:16 UTC,2018-05-20 20:07:04 UTC,research,2,0,false,,Forest of Nisene Marks,37.0242271,-121.9063379,9323,9323,,Woodland Strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
63059,"April 6, 2012 3:54:20 PM PDT",2012-04-06,2012-04-06 22:54:20 UTC,Pacific Time (US & Canada),2012-04-07 01:43:34 UTC,2020-12-11 16:28:03 UTC,research,2,0,false,,"47.302467346191406, -122.51961517333984",47.3024673462,-122.5196151733,17,17,,Kinnikinnick,Arctostaphylos uva-ursi,bearberry,Plantae,68049
63060,"April 6, 2012 3:58:11 PM PDT",2012-04-06,2012-04-06 22:58:11 UTC,Pacific Time (US & Canada),2012-04-07 01:43:36 UTC,2015-10-01 19:20:35 UTC,casual,2,0,true,,"Five Mile Drive, Tacoma, Pierce, Washington, 98407, United States of America",47.3024291992,-122.5196304321,47,47,,Coast Fawn Lily,Erythronium revolutum,Coast Fawn Lily,Plantae,77081
63061,"April 6, 2012 4:03:59 PM PDT",2012-04-06,2012-04-06 23:03:59 UTC,Pacific Time (US & Canada),2012-04-07 01:43:39 UTC,2014-11-13 13:42:53 UTC,casual,1,0,true,,"Five Mile Drive, Tacoma, Pierce, Washington, 98407, United States of America",47.302406311,-122.5199203491,76,76,,Mountain hemlock,Tsuga mertensiana,mountain hemlock,Plantae,68089
63062,"April 6, 2012 4:10:42 PM PDT",2012-04-06,2012-04-06 23:10:42 UTC,Pacific Time (US & Canada),2012-04-07 01:43:40 UTC,2018-03-28 06:44:01 UTC,casual,1,0,true,,"Five Mile Drive, Tacoma, Pierce, Washington, 98407, United States of America",47.3024978638,-122.5198669434,17,17,,small camas,Camassia quamash,small camas,Plantae,62220
63063,"April 6, 2012 4:14:17 PM PDT",2012-04-06,2012-04-06 23:14:17 UTC,Pacific Time (US & Canada),2012-04-07 01:43:41 UTC,2022-08-26 18:13:53 UTC,research,2,0,false,,"Roberts Garden Drive, Tacoma, Pierce, Washington, 98407, United States of America",47.3021011353,-122.5167007446,100,100,,Western hemlock,Tsuga heterophylla,western hemlock,Plantae,48254
63064,"April 6, 2012 4:18:53 PM PDT",2012-04-06,2012-04-06 23:18:53 UTC,Pacific Time (US & Canada),2012-04-07 01:43:43 UTC,2018-03-28 06:43:55 UTC,casual,1,0,true,,"Five Mile Drive, Tacoma, Pierce, Washington, 98407, United States of America",47.3025169373,-122.5198974609,76,76,,Silk Tassel,Garrya,silktassels,Plantae,53402
65483,Fri Apr 13 2012 14:39:01 GMT-0700 (PDT),2012-04-13,2012-04-13 21:39:01 UTC,Pacific Time (US & Canada),2012-04-14 17:13:43 UTC,2018-05-20 20:07:05 UTC,research,2,0,false,,"Samuel P. Taylor State Park, Marin County, CA, US",38.020416,-122.733539,10,10,,Woodland Strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
66145,"April 15, 2012 12:19:06 PM PDT",2012-04-15,2012-04-15 19:19:06 UTC,Pacific Time (US & Canada),2012-04-16 00:40:47 UTC,2020-02-08 21:32:48 UTC,research,1,0,false,,"38.567115783691406, -122.56871795654297",38.5671157837,-122.5687179565,5706,5706,,Земляника лесная,Fragaria vesca,woodland strawberry,Plantae,50298
67534,"April 18, 2012 8:18:54 PM PDT",2012-04-18,2012-04-19 03:18:54 UTC,Pacific Time (US & Canada),2012-04-19 03:19:39 UTC,2017-03-14 21:23:28 UTC,research,2,0,false,,Union Bay Natural Area,47.6564218,-122.2927934,522,522,,Woodland Strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
69039,2012-04-21,2012-04-21,,Eastern Time (US & Canada),2012-04-22 11:11:34 UTC,2018-11-25 23:48:09 UTC,research,3,0,false,,Gorge Metro Park,41.1218390347,-81.4965026439,,,,Wild strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
69283,"April 22, 2012 12:35:01 PM PDT",2012-04-22,2012-04-22 19:35:01 UTC,Pacific Time (US & Canada),2012-04-23 01:25:36 UTC,2021-11-19 18:04:49 UTC,research,6,0,false,,"Marsh Trail, Los Guilicos, Sonoma County, California, 95452, United States of America",38.4091186523,-122.5967483521,9,9,,Wald-Erdbeere,Fragaria vesca,woodland strawberry,Plantae,50298
69319,Sun Apr 22 2012 16:03:38 GMT-0700 (PDT),2012-04-22,2012-04-22 23:03:38 UTC,Pacific Time (US & Canada),2012-04-23 03:36:07 UTC,2018-05-20 20:07:00 UTC,research,2,0,false,,"Fish Gulch Fire Rd, Fairfax, California, US",37.950095,-122.581794,5,5,,Woodland Strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
71050,Fri Apr 27 2012 16:01:55 GMT-0400 (EDT),2012-04-27,2012-04-27 20:01:55 UTC,Eastern Time (US & Canada),2012-04-27 21:34:21 UTC,2017-06-23 22:59:02 UTC,research,2,0,false,,"Ashland County, US-OH, US",40.880673,-82.333119,5,5,,Woodland Strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
74036,2012-05-03,2012-05-03,,Eastern Time (US & Canada),2012-05-03 19:27:30 UTC,2017-06-23 23:28:12 UTC,casual,0,0,false,,"boston mills park, hudson, oh",41.2627262,-81.5604635,9162,9162,,Woodland Strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
74556,"May 4, 2012 8:31:55 AM PDT",2012-05-04,2012-05-04 15:31:55 UTC,Pacific Time (US & Canada),2012-05-04 18:30:42 UTC,2020-02-08 17:28:40 UTC,research,1,0,false,2,Jasper Ridge Biological Preserve,37.40524,-122.2421,1723,1723,,Земляника лесная,Fragaria vesca,woodland strawberry,Plantae,50298
75420,Sun May 06 2012 13:59:48 GMT-0400 (EDT),2012-05-06,2012-05-06 17:59:48 UTC,Eastern Time (US & Canada),2012-05-06 19:50:15 UTC,2017-06-23 22:59:02 UTC,research,1,0,false,,"1678–1698 Queens Gate Cir, Cuyahoga Falls, Ohio, US",41.1225,-81.4578333333,5,5,,Wild Strawberry,Fragaria vesca americana,American woodland strawberry,Plantae,126801
75795,"May 6, 2012 1:32:30 PM PDT",2012-05-06,2012-05-06 20:32:30 UTC,Pacific Time (US & Canada),2012-05-07 05:45:07 UTC,2018-02-06 05:46:05 UTC,research,2,0,false,2,Jasper Ridge Biological Preserve,37.40524,-122.2421,1723,1723,,wild strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
76474,Tue May 08 2012 17:35:32 GMT-0700 (PDT),2012-05-08,2012-05-09 00:35:32 UTC,Pacific Time (US & Canada),2012-05-09 00:36:24 UTC,2019-08-18 23:31:09 UTC,research,5,0,false,,"530–898 University Rd, Friday Harbor, Washington, US",48.545558,-123.016535,10,10,,Wild strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
78560,"May 13, 2012 4:56:12 PM PDT",2012-05-13,2012-05-13 23:56:12 UTC,Pacific Time (US & Canada),2012-05-14 02:13:48 UTC,2018-06-27 13:34:52 UTC,research,2,0,false,2,"Sonoma County, US-CA, US",38.52747763,-122.76258232,4,4,gps,Wild strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
78974,2012-05-13,2012-05-13,,Eastern Time (US & Canada),2012-05-14 18:24:02 UTC,2020-03-03 02:22:41 UTC,research,2,0,false,,"Shenks Ferry Wildflower Preserve, Safe Harbor, PA",39.9023174578,-76.366367582,,,,Wild strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
79322,2012-05-04,2012-05-04,,Pacific Time (US & Canada),2012-05-15 20:19:14 UTC,2018-05-20 20:06:59 UTC,research,2,0,false,,"Leona Heights Park, Oakland, CA, US",37.7937251629,-122.1706083492,,,,Wild strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
81323,Sun May 13 2012 16:34:18 GMT-0400 (EDT),2012-05-13,2012-05-13 20:34:18 UTC,Eastern Time (US & Canada),2012-05-21 07:00:59 UTC,2017-08-06 16:01:40 UTC,casual,0,0,false,,"Fenton River, Storrs Mansfield, Connecticut, US",41.82582,-72.238669,47,47,,Woodland Strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
81449,"May 19, 2012 22:55",2012-05-19,2012-05-20 05:55:00 UTC,Pacific Time (US & Canada),2012-05-21 17:36:35 UTC,2018-02-06 05:45:59 UTC,research,1,0,false,,Abbott's Lagoon,38.1193398338,-122.9492841446,80,80,,wild strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
90146,Sun Jun 10 2012 12:56:36 GMT-0700 (PDT),2012-06-10,2012-06-10 19:56:36 UTC,Pacific Time (US & Canada),2012-06-11 02:30:35 UTC,2019-05-28 17:12:09 UTC,research,1,0,false,,"Guadalupe Canyon Pkwy, Brisbane, California, US",37.697482,-122.445426,5,5,,woodland strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
91662,2012-06-15,2012-06-15,,Hawaii,2012-06-16 01:52:32 UTC,2017-06-23 23:28:17 UTC,casual,0,0,false,,Hodges Village Dam,42.1200952,-71.8795166,1609,1609,,Wild Strawberry,Fragaria vesca americana,American woodland strawberry,Plantae,126801
92960,2011-11-21,2011-11-21,,Pacific Time (US & Canada),2012-06-19 05:20:17 UTC,2018-08-02 19:18:28 UTC,research,2,0,false,,"Hawaii Volcanoes National Park, Hawaii, USA",19.4420261535,-155.302397315,641,641,,Fragaria vesca,Fragaria vesca,woodland strawberry,Plantae,50298
99954,2012-07-08,2012-07-08,,Eastern Time (US & Canada),2012-07-09 01:38:39 UTC,2017-06-23 23:28:18 UTC,casual,0,0,true,,"heritage gardens, sandwich, ma",41.747458,-70.504925,456,456,,Wild Strawberry,Fragaria vesca americana,American woodland strawberry,Plantae,126801
108214,2012-07-30,2012-07-30,,Pacific Time (US & Canada),2012-07-31 17:54:16 UTC,2018-05-20 20:08:38 UTC,research,3,0,false,,hastings ranch,34.1629576,-118.074081,1863,1863,,Wild strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
113010,2011-08-28,2011-08-28,,Pacific Time (US & Canada),2012-08-16 00:19:37 UTC,2019-05-29 05:04:34 UTC,casual,0,0,false,,"Perry Creek Trail, Snohomish Co, WA, USA",48.07666,-121.483762,872,872,,Fragaria vesca,Fragaria vesca,woodland strawberry,Plantae,50298
159765,2006-06-24 12:50:59,2006-06-24,2006-06-24 19:50:59 UTC,Pacific Time (US & Canada),2012-12-09 05:53:04 UTC,2018-12-26 22:49:05 UTC,research,2,0,false,,"Washington, United States",47.867624,-123.059427,,,,Virginia strawberry,Fragaria virginiana,Virginia strawberry,Plantae,77155
168436,2010-05-24,2010-05-24,,Pacific Time (US & Canada),2012-12-28 17:26:16 UTC,2017-06-23 23:28:20 UTC,casual,0,0,false,,"Spearhead Campground, Chequamegon National Forest",45.3277481,-90.444867,181,181,,Woodland Strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
178005,2007-08-30,2007-08-30,,Pacific Time (US & Canada),2013-01-11 17:05:55 UTC,2017-06-23 23:28:21 UTC,casual,0,0,false,,"Antler Springs, Lake Co., OR",42.947639,-121.3069539,958,958,,Woodland Strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
204679,2013-02-23 14:07:18,2013-02-23,2013-02-23 22:07:18 UTC,Pacific Time (US & Canada),2013-02-24 08:59:40 UTC,2019-04-24 04:18:55 UTC,research,2,0,false,,"Huckleberry Botanic Regional Preserve, Contra Costa, California, United States",37.843097644,-122.191072963,,28329,,Wild strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
210337,2013-03-03 14:07:56,2013-03-03,2013-03-03 22:07:56 UTC,Pacific Time (US & Canada),2013-03-05 23:12:15 UTC,2018-05-20 20:08:20 UTC,research,2,0,false,,"West Camino Cielo, Santa Barbara, CA",34.5360280337,-120.0467920303,140,140,,Wild strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
210772,2013-03-05,2013-03-05,,Eastern Time (US & Canada),2013-03-06 14:07:37 UTC,2021-10-25 13:36:51 UTC,research,2,0,false,,Bennington Dump,42.9262629186,-73.1947803497,,,,Wild Strawberry,Fragaria vesca americana,American woodland strawberry,Plantae,126801
213556,2013-03-09 12:06:57,2013-03-09,2013-03-09 20:06:57 UTC,Pacific Time (US & Canada),2013-03-10 01:22:48 UTC,2018-05-20 20:08:19 UTC,research,3,0,false,,"Marin Municipal Water District Watershed, Marin, California, United States",37.9520138889,-122.5933194444,,,,Wild strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
215520,2013-03-07,2013-03-07,,Pacific Time (US & Canada),2013-03-13 19:56:31 UTC,2020-02-08 17:24:20 UTC,research,3,1,false,,"Pinnacle Gultch, Bodega Bay, CA",38.311,-123.01595,10,10,,Земляника лесная,Fragaria vesca,woodland strawberry,Plantae,50298
220036,2013-03-09,2013-03-09,,Pacific Time (US & Canada),2013-03-20 22:48:08 UTC,2018-05-20 20:08:15 UTC,research,3,0,false,,"Marin Municipal Water District Watershed, Marin, California, United States",37.9648305556,-122.6123277778,,,,Wild strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
228302,2012-04-22,2012-04-22,,Pacific Time (US & Canada),2013-04-03 08:30:17 UTC,2018-02-06 05:45:39 UTC,research,1,0,false,,"Skyline Ridge Open Space Preserve, Los Altos CA",37.3136569983,-122.1926987171,,,,wild strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
229777,Fri Apr 05 2013 11:42:28 GMT-0700 (PDT),2013-04-05,2013-04-05 18:42:28 UTC,Pacific Time (US & Canada),2013-04-05 22:25:21 UTC,2018-02-06 05:45:33 UTC,research,1,0,false,,"Sonoma County, US-CA, US",38.569193,-122.724244,10,10,,wild strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
230894,2013-04-02 10:50:53,2013-04-02,2013-04-02 17:50:53 UTC,Pacific Time (US & Canada),2013-04-07 01:33:49 UTC,2018-05-20 20:08:12 UTC,research,2,0,false,,"Jalama Road, Santa Barbara County, CA",34.527277863,-120.391176939,50,50,,Wild strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
231459,2013-03-22,2013-03-22,,Eastern Time (US & Canada),2013-04-07 20:24:12 UTC,2018-05-20 20:08:11 UTC,research,2,0,false,,"tilden regional park, berkeley, ca",37.8962059,-122.2522762,4309,4309,,Wild strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
232558,2013-04-08,2013-04-08,,Pacific Time (US & Canada),2013-04-09 04:44:28 UTC,2017-03-14 21:23:28 UTC,research,2,0,false,,Ravenna Park,47.6724623,-122.308037,685,685,,Woodland Strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
233004,2013-04-09,2013-04-09,,Pacific Time (US & Canada),2013-04-09 22:18:16 UTC,2019-06-19 15:44:48 UTC,research,1,0,false,,near Windy Hill Open Space Preserve,37.3497383944,-122.2477517488,,,,wild strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
236545,2013-04-14   1400,2013-04-14,2013-04-14 21:00:00 UTC,Pacific Time (US & Canada),2013-04-14 22:54:18 UTC,2021-01-11 16:55:29 UTC,research,3,0,false,,Mount Hood Regional Park,38.4592009478,-122.5670385361,,,,Wild strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
238208,Thu Apr 11 2013 11:11:28 GMT-0700 (PDT),2013-04-11,2013-04-11 18:11:28 UTC,Pacific Time (US & Canada),2013-04-16 22:13:11 UTC,2018-05-20 20:08:05 UTC,research,2,0,false,,"Pepperwood Preserve, Sonoma County, US-CA, US",38.586074,-122.687399,10,10,,Wild strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
244007,2013-03-09,2013-03-09,,Pacific Time (US & Canada),2013-04-24 03:20:15 UTC,2018-05-20 20:08:07 UTC,research,2,0,false,,Marin Municipal Water District; Rocky Ridge Rd.,37.9549303846,-122.6149857044,,,,Wild strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
245606,Thu Apr 25 2013 13:08:29 GMT-0400 (EDT),2013-04-25,2013-04-25 17:08:29 UTC,Eastern Time (US & Canada),2013-04-26 12:38:15 UTC,2020-02-08 22:34:58 UTC,research,0,0,false,,"Bear Creek, Wise, Virginia, US",36.9624460722,-82.5496582781,5,5,,Земляника американская,Fragaria vesca americana,American woodland strawberry,Plantae,126801
250782,Wed May 01 2013 10:18:46 GMT-0400 (EDT),2013-05-01,2013-05-01 14:18:46 UTC,Eastern Time (US & Canada),2013-05-01 14:22:51 UTC,2021-01-31 18:46:51 UTC,research,1,0,false,,"Ithaca Reservoir, South Hill, New York, US",42.4241666667,-76.4753333333,,,,woodland strawberry,Fragaria vesca americana,American woodland strawberry,Plantae,126801
254839,2013-05-04 16:17:43,2013-05-04,2013-05-04 20:17:43 UTC,Eastern Time (US & Canada),2013-05-05 01:55:55 UTC,2019-05-28 17:12:33 UTC,research,1,0,false,,"Darlington, Pennsylvania, United States",40.790454,-80.494015,,,,Woodland Strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
260119,2013-05-05,2013-05-05,,Pacific Time (US & Canada),2013-05-09 15:00:15 UTC,2019-05-28 17:10:04 UTC,research,2,0,false,,Yosemite Valley,37.745377,-119.574494,104,104,,Wild strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
260740,2013-05-04,2013-05-04,,Eastern Time (US & Canada),2013-05-10 00:19:59 UTC,2020-05-09 19:56:22 UTC,research,2,0,false,,"Mogadore Reservoir, OH",41.060421,-81.355066,2718,2718,,woodland strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
264388,2013-05-11,2013-05-11,,Pacific Time (US & Canada),2013-05-12 03:14:28 UTC,2019-06-19 15:44:50 UTC,research,1,0,false,,"Martin Griffin Preserve, Audubon Canyon Ranch, Stinson Beach, CA",37.900482,-122.644426,3613,3613,,woodland strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
265253,2013-05-12,2013-05-12,,Eastern Time (US & Canada),2013-05-12 22:23:59 UTC,2017-06-23 23:28:59 UTC,needs_id,0,0,false,,"Fairfax, VT",44.698647,-73.0093,47,47,,Wild Strawberry,Fragaria vesca americana,American woodland strawberry,Plantae,126801
266491,2013-05-12,2013-05-12,,Eastern Time (US & Canada),2013-05-13 23:52:11 UTC,2017-06-23 23:29:00 UTC,needs_id,0,0,false,,"Ferdinand, VT",44.716944,-71.776667,14600,14600,,Wild Strawberry,Fragaria vesca americana,American woodland strawberry,Plantae,126801
268662,Wed May 15 2013 08:48:37 GMT-0600 (MDT),2013-05-15,2013-05-15 14:48:37 UTC,Mountain Time (US & Canada),2013-05-15 16:10:21 UTC,2019-02-12 04:57:20 UTC,research,2,0,false,,"10652–10888 S Covered Bridge Cyn, Spanish Fork, Utah, US",40.034743,-111.556954,10,10,,Wild strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
271528,2013-05-18,2013-05-18,,Eastern Time (US & Canada),2013-05-18 22:51:48 UTC,2017-06-23 22:59:56 UTC,research,1,0,false,,"20 Hitchcock Rd, Rockingham, VT",43.132339,-72.525467,185,185,,Wild Strawberry,Fragaria vesca americana,American woodland strawberry,Plantae,126801
273272,Sun May 19 2013 13:51:41 GMT-0700 (PDT),2013-05-19,2013-05-19 20:51:41 UTC,Pacific Time (US & Canada),2013-05-20 16:31:31 UTC,2018-05-20 20:08:01 UTC,research,2,0,false,,"Eldorado National Forest, Kyburz, California, US",38.80721,-120.130216,1414,1414,,Wild strawberry,Fragaria vesca,woodland strawberry,Plantae,50298
274859,2013-05-15,2013-05-15,,Eastern Time (US & Canada),2013-05-22 00:55:44 UTC,2022-02-11 16:01:12 UTC,research,1,0,false,,North Branch River Park,44.283087,-72.571113,,,,Wild Strawberry,Fragaria vesca americana,American woodland strawberry,Plantae,126801
275057,2013-05-19,2013-05-19,,Eastern Time (US & Canada),2013-05-22 02:59:34 UTC,2019-12-18 13:35:51 UTC,needs_id,0,0,false,,"Stewart McKinney Salt Meadow, Westbrook, CT",41.285437,-72.474532,199,199,,Wild Strawberry,Fragaria vesca americana,American woodland strawberry,Plantae,126801
